,occ,0,1,emp_2018,wage,sqrt_emp
0,Accountants and auditors,-26.651518,-7.6738505,1436.1,71550.0,37.89591006955764
1,Actors,22.89551,-15.341402,70.1,,8.372574275573792
2,Actuaries,-30.352959,-10.973314,27.7,108350.0,5.263078946776307
3,Adhesive bonding machine operators and tenders,32.281845,4.142823,14.0,34340.0,3.7416573867739413
4,"Administrative law judges, adjudicators, and hearing officers",-8.270143,-18.568361,15.4,97870.0,3.924283374069717
5,"Adult basic education, adult secondary education, and English as a Second Language instructors",-13.11397,-12.803886,59.3,54350.0,7.700649323271382
6,Advertising and promotions managers,-4.2501945,-11.066116,28.6,125510.0,5.347896782848375
7,Advertising sales agents,-4.1441875,-12.377782,139.2,53310.0,11.7983049630021
8,Aerospace engineering and operations technologists and technicians,1.6867961,12.569192,11.9,66020.0,3.449637662132068
9,Aerospace engineers,-37.83023,3.7081935,66.4,116500.0,8.148619514985345
10,"Agents and business managers of artists, performers, and athletes",-5.1685023,-11.686577,21.9,73740.0,4.679743582719036
11,Agricultural engineers,-33.3162,5.1511474,1.7,80720.0,1.3038404810405297
12,Agricultural equipment operators,29.587772,1.4128698,70.3,31950.0,8.384509526501834
13,Agricultural inspectors,-3.3618486,-0.86829865,15.2,45490.0,3.8987177379235853
14,"Agricultural sciences teachers, postsecondary",-26.304617,2.781395,11.4,83260.0,3.3763886032268267
15,Air traffic controllers,-17.859034,-11.654559,24.3,122990.0,4.929503017546495
16,Aircraft mechanics and service technicians,1.1261443,20.174158,137.2,64090.0,11.713240371477058
17,"Aircraft structure, surfaces, rigging, and systems assemblers",5.104119,18.54029,43.9,54210.0,6.6257075093909785
18,Airfield operations specialists,-8.459736,10.525418,10.9,52650.0,3.3015148038438356
19,"Airline pilots, copilots, and flight engineers",0.43279427,24.595287,85.5,147220.0,9.246621004453464
20,"Ambulance drivers and attendants, except emergency medical technicians",8.739105,10.863242,14.9,25890.0,3.8600518131237567
21,Amusement and recreation attendants,19.198454,-12.04902,357.7,23370.0,18.912958520548813
22,Animal breeders,20.287573,-9.636402,8.4,42920.0,2.898275349237888
23,Animal caretakers,12.463446,-7.7027955,300.7,24780.0,17.340703561274555
24,Animal control workers,-2.3417192,-0.2702255,13.9,37590.0,3.7282703764614498
25,Animal scientists,-30.42277,0.5029828,2.8,60300.0,1.6733200530681511
26,Animal trainers,-13.538094,-5.979835,50.2,30430.0,7.085195833567341
27,Anthropologists and archeologists,-30.337114,-0.5327258,8.0,63670.0,2.8284271247461903
28,"Anthropology and archeology teachers, postsecondary",-24.412052,-11.200879,7.2,86220.0,2.6832815729997477
29,"Arbitrators, mediators, and conciliators",-5.2404976,-17.690836,7.3,63930.0,2.701851217221259
30,"Architects, except landscape and naval",-29.932068,5.727051,129.9,80750.0,11.397368117245314
31,Architectural and civil drafters,1.305135,-5.95876,102.9,56340.0,10.143963722332607
32,Architectural and engineering managers,-34.340767,2.659622,198.1,144830.0,14.074800176201437
33,"Architecture teachers, postsecondary",-27.8151,4.0741105,8.5,87900.0,2.9154759474226504
